Country_Region,Confirmed,Deaths,Recovered
Afghanistan,158037,7356,0
Albania,208899,3212,0
Algeria,217647,6263,0
Andorra,22823,140,0
Angola,76787,1757,0
Antigua and Barbuda,4259,118,0
Argentina,5514207,117085,0
Armenia,344737,7970,0
Australia,341437,2210,0
Austria,1271770,13689,0
Azerbaijan,615842,8332,0
Bahamas,23539,713,0
Bahrain,280876,1394,0
Bangladesh,1584518,28063,0
Barbados,27836,260,0
Belarus,696220,5543,0
Belgium,2062836,28250,0
Belize,31734,597,0
Benin,24935,161,0
Bhutan,2660,3,0
Bolivia,580690,19576,0
Bosnia and Herzegovina,289676,13397,0
Botswana,212482,2439,0
Brazil,22259270,618978,0
Brunei,15465,98,0
Bulgaria,737233,30657,0
Burkina Faso,17632,318,0
Burma,530276,19262,0
Burundi,27366,38,0
Cabo Verde,39947,352,0
Cambodia,120473,3011,0
Cameroon,109367,1851,0
Canada,2089176,30291,0
Central African Republic,12163,101,0
Chad,5703,181,0
Chile,1802891,39063,0
China,114379,4849,0
Colombia,5132277,129537,0
Comoros,6043,154,0
Congo (Brazzaville),20089,367,0
Congo (Kinshasa),74793,1205,0
Costa Rica,570556,7353,0
Cote d'Ivoire,65066,707,0
Croatia,703720,12466,0
Cuba,965243,8321,0
Cyprus,157928,635,0
Czechia,2463780,35975,0
Denmark,770284,3261,0
Diamond Princess,712,13,0
Djibouti,13619,189,0
Dominica,6559,45,0
Dominican Republic,416270,4246,0
Ecuador,542960,33650,0
Egypt,383003,21667,0
El Salvador,121741,3821,0
Equatorial Guinea,13637,175,0
Eritrea,7948,74,0
Estonia,238957,1922,0
Eswatini,65473,1296,0
Ethiopia,410445,6916,0
Fiji,53332,698,0
Finland,239339,1548,0
France,9639037,124358,0
Gabon,39910,288,0
Gambia,10136,342,0
Georgia,930544,13707,0
Germany,7101226,111366,0
Ghana,141295,1287,0
Greece,1134713,20636,0
Grenada,5968,200,0
Guatemala,626675,16102,0
Guinea,31238,389,0
Guinea-Bissau,6474,149,0
Guyana,39151,1050,0
Haiti,25976,766,0
Holy See,27,0,0
Honduras,379402,10433,0
Hungary,1249694,39009,0
Iceland,25314,37,0
India,34808886,480592,0
Indonesia,4262351,144081,0
Iran,6190762,131527,0
Iraq,2093136,24151,0
Ireland,747895,5912,0
Israel,1374446,8243,0
Italy,5854428,137091,0
Jamaica,92950,2464,0
Japan,1731446,18389,0
Jordan,1047953,12372,0
Kazakhstan,1071035,18211,0
Kenya,288951,5372,0
Kiribati,2,0,0
"Korea, South",620938,5382,0
Kosovo,161389,2990,0
Kuwait,416077,2468,0
Kyrgyzstan,184592,2799,0
Laos,108782,355,0
Latvia,274271,4553,0
Lebanon,715950,9072,0
Lesotho,28195,665,0
Liberia,6278,287,0
Libya,387543,5685,0
Liechtenstein,6131,69,0
Lithuania,515892,7350,0
Luxembourg,101256,911,0
MS Zaandam,9,2,0
Madagascar,50279,1027,0
Malawi,73238,2350,0
Malaysia,2750516,31428,0
Maldives,95420,262,0
Mali,20468,658,0
Malta,49717,476,0
Marshall Islands,4,0,0
Mauritania,40906,862,0
Mauritius,23293,240,0
Mexico,3956372,298944,0
Micronesia,1,0,0
Moldova,375358,9667,0
Monaco,4985,38,0
Mongolia,388973,2057,0
Montenegro,166581,2401,0
Morocco,959098,14842,0
Mozambique,179272,1988,0
Namibia,146720,3616,0
Nepal,827972,11590,0
Netherlands,3148735,21318,0
New Zealand,13988,51,0
Nicaragua,17487,217,0
Niger,7307,274,0
Nigeria,239019,3027,0
North Macedonia,224134,7935,0
Norway,382789,1305,0
Oman,305357,4116,0
Pakistan,1294379,28918,0
Palau,8,0,0
Panama,489695,7421,0
Papua New Guinea,36137,590,0
Paraguay,465824,16616,0
Peru,2279299,202524,0
Philippines,2839790,51241,0
Poland,4080282,95707,0
Portugal,1330158,18921,0
Qatar,249245,616,0
Romania,1805726,58677,0
Russia,10279009,300886,0
Rwanda,106987,1349,0
Saint Kitts and Nevis,2877,28,0
Saint Lucia,13410,295,0
Saint Vincent and the Grenadines,5843,81,0
Samoa,3,0,0
San Marino,7808,99,0
Sao Tome and Principe,3819,57,0
Saudi Arabia,554665,8874,0
Senegal,74672,1890,0
Serbia,1295198,12665,0
Seychelles,24546,131,0
Sierra Leone,6891,123,0
Singapore,278750,826,0
Slovakia,1363478,16554,0
Slovenia,460435,5576,0
Solomon Islands,24,0,0
Somalia,23532,1333,0
South Africa,3433554,90935,0
South Sudan,15152,135,0
Spain,6133057,89331,0
Sri Lanka,586183,14944,0
Sudan,46518,3331,0
Summer Olympics 2020,865,0,0
Suriname,51791,1188,0
Sweden,1303663,15297,0
Switzerland,1294592,12171,0
Syria,50167,2884,0
Taiwan*,16964,850,0
Tajikistan,17493,125,0
Tanzania,29306,737,0
Thailand,2217287,21647,0
Timor-Leste,19833,122,0
Togo,28925,246,0
Tonga,1,0,0
Trinidad and Tobago,90829,2825,0
Tunisia,724092,25548,0
Turkey,9367369,81917,0
US,53596991,822620,0
Uganda,137337,3287,0
Ukraine,3833952,101548,0
United Arab Emirates,757145,2160,0
United Kingdom,12628071,148556,0
Uruguay,408894,6167,0
Uzbekistan,198626,1485,0
Vanuatu,7,1,0
Venezuela,443983,5319,0
Vietnam,1694874,31877,0
West Bank and Gaza,469748,4919,0
Yemen,10125,1984,0
Zambia,243638,3726,0
Zimbabwe,207548,4940,0
